Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
UT Arlington,-0.1582,-0.3583,1.2173,0.0241,0.0193,-0.4617,-0.7664,-0.0786,-0.6407
Northern Colorado,-0.1965,-0.6175,-0.6207,-0.0433,-0.0793,-0.4617,-0.7664,-0.3186,-0.4306
New Mexico State,-0.1925,-0.2934,-0.7746,-0.2358,-0.2863,-0.4617,-0.7664,-0.3186,-0.3717
Fordham,-0.2079,-0.6175,0.9863,-0.1203,-0.5721,-0.4617,-0.7664,-0.2588,0.363
San Diego,-0.191,-0.9411,0.7169,-0.3897,-1.1635,-0.4617,-0.7664,-1.0024,-0.0688
Loyola Marymount,-0.2417,-0.7469,0.2069,-0.3127,-0.6953,-0.4617,-0.7664,-0.3834,-0.0688
George Washington,-0.2298,0.207,-1.1306,-0.0818,-0.646,-0.4617,-0.7664,-0.4178,0.363
Wright State,-0.2243,-0.1858,1.352,-0.1876,0.0981,-0.4617,-0.0114,0.102,-0.1683
Buffalo,-0.2427,0.4188,-0.0529,-0.1395,0.4579,-0.4617,-0.7664,0.3121,-0.1883
Austin Peay,-0.2119,-0.1466,-0.2165,-0.0914,-0.0793,-0.4617,-0.0114,-0.3186,-0.6151
Wofford,-0.2268,-0.3583,-1.044,-0.1107,0.5368,-0.4617,0.2402,0.102,0.0324
Long Beach State,-0.2362,-0.1858,1.3039,-0.3512,-0.4883,-0.4617,-0.7664,-0.5291,-0.7051
Delaware,-0.2636,-0.6175,0.8516,-0.0144,-0.6953,-0.4617,0.2402,-0.8279,-0.2589
Lipscomb,-0.2387,-0.1466,0.9093,0.0048,0.2164,-0.4617,-0.7664,0.6066,-0.6151
Abilene Christian,-0.2656,-1.2648,-0.1299,-0.2742,-0.1877,-0.4617,-0.7664,-0.8279,-0.6407
Drexel,-0.2501,-0.3583,1.198,-0.0722,-0.1877,-0.4617,-0.7664,0.102,-0.2589
Utah Tech,-0.2472,-0.1858,-0.9959,-0.1299,0.3002,-0.4617,-0.7664,-0.0786,-0.6407
Georgia Southern,-0.3133,0.9134,-1.7176,-0.2261,0.0144,-0.4617,-0.7664,-0.0309,0.3369
Towson,-0.2904,0.9134,-0.255,-0.1588,0.4579,1.251,-0.7664,0.3121,-0.2589
East Tennessee State,-0.2333,0.7774,-0.8805,0.0529,0.6107,-0.4617,-0.7664,0.3674,0.0324
Wichita State,-0.2526,-0.6175,-0.1876,-0.3993,-1.0255,-0.4617,-0.7664,-0.7396,0.4492
Texas State,-0.2551,0.9134,-1.3905,-0.178,-0.1729,-0.4617,0.2402,-0.6287,0.3369
Holy Cross,-0.2755,0.0302,-0.611,-0.0048,0.3298,-0.4617,-0.7664,0.0388,-0.3806
UTEP,-0.2685,-0.8529,0.6495,-0.4378,-0.6953,-0.4617,-0.7664,-0.7658,-0.3717
Milwaukee,-0.2661,-0.1858,-1.631,-0.2454,-0.0793,-0.4617,-0.7664,-0.3569,-0.1683
Tennessee Tech,-0.2755,-0.6175,0.9671,-0.2069,0.0193,-0.4617,-0.7664,-0.2304,-1.4637
Texas A&M-Corpus Christi,-0.2685,-0.2472,-0.1684,-0.1973,0.9458,-0.4617,-0.7664,0.3121,-1.2064
Florida Atlantic,-0.3113,-0.3583,-1.1595,-0.4282,-0.7692,-0.4617,0.7436,-1.097,0.4492
UC Riverside,-0.3148,-0.4555,0.5629,-0.332,0.2164,-0.4617,-0.7664,-0.0309,-0.7051
UC San Diego,-0.3247,-1.0491,1.2076,-0.4667,-0.5721,-0.4617,-0.7664,-0.9797,-0.7051
Mercer,-0.2854,-0.4555,-0.919,-0.2165,-0.5376,-0.4617,-0.7664,-0.6113,0.0324
St. Thomas,-0.3227,0.0302,-0.2454,-0.3705,0.108,-0.4617,-0.7664,-0.0309,-0.4356
Tennessee-Martin,-0.3486,-1.1354,1.0152,-0.409,-0.375,-0.4617,-0.7664,-0.3186,-1.4637
Incarnate Word,-0.2909,-0.2472,-0.765,-0.255,0.5368,-0.4617,-0.7664,0.1807,-1.2064
Southern,-0.3779,-1.5239,1.6214,-0.3416,-0.2863,0.1806,-0.7664,0.1989,-1.6533
Campbell,-0.3978,0.2462,-1.2173,-0.3224,0.1277,-0.4617,-0.0114,-0.1952,-0.2589
Siena,-0.4276,-0.4555,-0.8323,-0.1491,0.2411,-0.4617,-0.7664,0.1682,-0.3078
UNC Greensboro,-0.4012,0.5602,-1.2269,-0.3608,0.6797,-0.4617,-0.7664,0.3121,0.0324
Grambling,-0.359,-0.4555,0.7939,-0.3801,0.7438,-0.4617,-0.7664,0.654,-1.6533
Detroit Mercy,-0.4306,0.5602,-1.4771,-0.4186,0.1967,-0.4617,0.7436,-0.1176,-0.1683
Niagara,-0.4549,-0.7469,1.3808,-0.4474,0.2164,-0.4617,-0.7664,0.3674,-0.3078
Maryland-Eastern Shore,-0.4917,-0.4182,0.2935,-0.4763,-0.1877,-0.4617,-0.7664,0.0119,-1.1736
Coastal Carolina,-0.4649,-0.2934,0.2165,-0.5148,-1.0847,0.2726,-0.7664,-0.7995,0.3369
Northern Kentucky,-0.4827,-1.4268,1.2461,-0.5244,-0.7692,-0.4617,-0.0114,-0.8631,-0.1683
Little Rock,-0.52,-1.5593,1.6022,-0.6688,-0.7692,-0.4617,-0.0114,-0.7396,-1.4637
Cal State Fullerton,-0.526,-0.3583,0.4186,-0.6495,-0.9023,-0.4617,-0.7664,-0.9077,-0.7051
Dayton,-0.4882,0.0302,-1.0344,-0.6014,-0.5721,-0.4617,-0.7664,-0.4178,0.363
Indiana State,-0.4822,-0.1858,-1.5444,-0.5918,-0.9023,-0.4617,-0.7664,-0.6404,-0.1338
Akron,-0.531,-0.1466,-1.2461,-0.5822,-0.6165,-0.4617,-0.7664,-0.6287,-0.1883
Youngstown State,-0.5056,-0.6175,-1.1114,-0.5533,-0.3553,-0.4617,-0.7664,-0.439,-0.1683
Morehead State,-0.5404,-0.9411,1.2365,-0.5052,-0.0793,-0.4617,0.7436,-0.6287,-1.4637
Oakland,-0.5414,-0.6175,0.1107,-0.6207,-0.4883,-0.4617,0.2402,-0.7658,-0.1683
Colgate,-0.5623,0.4188,-1.2076,-0.4571,0.1277,-0.4617,-0.7664,-0.3569,-0.3806
Boston University,-0.5836,0.8073,-0.3127,-0.4956,0.5368,-0.4617,-0.7664,0.102,-0.3806
Western Michigan,-0.5767,-0.3583,-0.2358,-0.5725,-0.3996,-0.4617,-0.7664,-0.4178,-0.1883
Howard,-0.5643,-1.0798,-0.5148,-0.5437,-0.6165,-0.4617,-0.7664,-0.7184,-1.1736
Yale,-0.6353,-1.0157,-0.3224,-0.7361,-1.2572,-0.4617,0.2402,-1.239,0.2902
Sacred Heart,-0.6567,-0.6175,0.4474,-0.5341,0.6107,-0.4617,-0.7664,0.3674,-1.8611
Stetson,-0.5966,-0.9411,-1.0922,-0.6303,0.1967,-0.4617,-0.7664,-0.2823,-0.6151
Kansas City,-0.5911,0.1798,-1.5059,-0.7265,-0.5376,-0.4617,-0.7664,-0.5291,-0.4356
Lehigh,-0.6741,0.8073,-1.6888,-0.6399,0.3298,-0.4617,-0.7664,-0.2823,-0.3806
Western Illinois,-0.61,0.8629,-1.708,-0.5629,0.6107,-0.4617,-0.7664,-0.1505,-1.4637
Manhattan,-0.6169,1.1096,-1.4963,-0.4859,0.7438,-0.4617,0.7436,0.2822,-0.3078
