Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
11,Arizona,32,22,10,0.688,23.87,14.9,11.0,7.0,12,3,7,6,2370,2083,72.2,101.4,0.292,0.255,0.509,49.9,52.4,14.5,7.9,0.48,14.6,31.9,0.199
12,Arizona State,28,8,20,0.286,6.7,15.38,1.0,15.0,3,11,4,7,1829,2072,72.2,89.7,0.299,0.277,0.443,45.8,43.3,9.6,7.4,0.397,14.3,29.7,0.219
13,Arkansas,37,24,13,0.649,19.77,13.2,7.0,9.0,14,4,6,6,2672,2429,74.0,96.9,0.385,0.45,0.505,48.3,54.5,8.9,10.3,0.467,15.8,26.2,0.26
14,Arkansas State,32,13,19,0.406,-9.29,-5.74,6.0,12.0,7,7,4,11,2222,2287,74.7,91.9,0.275,0.321,0.473,48.3,49.8,11.0,5.3,0.433,17.4,31.8,0.205
15,Arkansas-Pine Bluff,31,14,17,0.452,-13.14,-9.64,10.0,8.0,8,4,4,9,1999,2065,75.2,85.4,0.436,0.236,0.465,51.4,55.8,11.0,9.2,0.431,21.8,35.4,0.261
16,Army,30,13,17,0.433,-13.96,-9.2,10.0,8.0,6,7,7,10,1827,1941,68.5,88.2,0.259,0.392,0.466,51.3,48.7,8.6,5.3,0.437,19.3,32.6,0.172
17,Auburn,31,16,15,0.516,12.89,12.15,5.0,11.0,14,5,1,8,2065,2042,74.2,89.5,0.306,0.232,0.47,47.1,49.7,13.3,11.1,0.435,18.3,30.6,0.207
18,Austin Peay,29,17,12,0.586,-2.45,-4.13,11.0,6.0,8,4,8,6,1725,1632,66.4,89.6,0.347,0.251,0.511,51.2,51.0,12.2,6.4,0.47,22.7,28.8,0.251
19,Ball State,35,26,9,0.743,9.47,-0.47,14.0,4.0,15,1,9,6,2724,2332,72.5,106.2,0.303,0.393,0.564,49.8,58.3,10.5,10.9,0.538,15.9,26.6,0.214
20,Baylor,33,20,13,0.606,23.02,14.78,10.0,8.0,11,6,6,4,2368,2096,72.6,97.7,0.262,0.341,0.508,51.8,65.1,10.6,7.9,0.482,17.8,32.1,0.18
21,Bellarmine,31,9,22,0.29,-12.84,-3.05,5.0,13.0,7,8,1,13,1879,2115,72.9,82.8,0.334,0.229,0.464,53.2,55.1,9.5,11.4,0.424,23.6,34.1,0.226
22,Belmont,35,23,12,0.657,9.59,5.13,17.0,3.0,11,3,9,6,2506,2350,69.3,103.0,0.313,0.417,0.538,48.6,56.3,8.2,9.5,0.509,16.3,28.1,0.219
23,Bethune-Cookman,29,11,18,0.379,-13.82,-9.89,10.0,8.0,6,6,4,10,1760,1874,72.5,82.6,0.39,0.247,0.435,47.1,41.0,13.6,4.4,0.393,19.4,31.5,0.247
24,Binghamton,30,13,17,0.433,-13.77,-12.24,6.0,10.0,9,5,4,11,1832,1832,70.6,86.1,0.242,0.27,0.462,48.4,54.7,12.4,6.2,0.433,18.6,27.3,0.164
25,Boise State,33,17,16,0.515,-1.09,-0.61,11.0,7.0,10,7,5,6,2176,2068,71.1,92.0,0.314,0.312,0.493,55.3,59.7,6.4,13.8,0.461,20.4,34.8,0.211
26,Boston College,33,16,17,0.485,10.94,11.76,5.0,13.0,11,7,3,8,2175,2202,74.1,88.7,0.311,0.275,0.484,53.2,58.9,11.4,8.9,0.452,22.6,36.8,0.206
27,Boston University,33,24,9,0.727,0.7,-10.06,17.0,1.0,14,3,10,6,2246,1891,68.3,99.3,0.266,0.303,0.538,53.7,60.8,9.7,11.4,0.511,19.3,30.7,0.191
28,Bowling Green State,38,31,7,0.816,11.5,-0.85,14.0,4.0,14,3,14,3,2924,2426,74.3,103.2,0.26,0.324,0.519,50.8,58.6,15.4,6.3,0.489,14.7,31.0,0.188
29,Bradley,32,4,28,0.125,-17.33,0.12,1.0,19.0,2,12,2,14,1825,2346,68.1,83.4,0.234,0.301,0.46,45.2,56.0,8.8,3.7,0.429,19.7,24.6,0.165
30,Brigham Young,33,16,17,0.485,6.34,4.9,9.0,9.0,7,9,6,6,2102,2032,67.3,94.3,0.238,0.305,0.519,55.0,59.3,8.1,9.5,0.491,21.2,31.9,0.173
31,Brown,26,11,15,0.423,-7.67,-2.67,4.0,10.0,6,7,5,8,1649,1718,73.2,86.6,0.252,0.394,0.477,45.0,53.0,14.2,9.2,0.462,20.2,26.3,0.145
32,Bryant,30,9,21,0.3,-20.39,-12.89,3.0,13.0,5,9,3,12,1848,1909,67.8,90.1,0.247,0.327,0.474,49.4,49.7,11.9,8.3,0.44,19.3,32.6,0.18
33,Bucknell,30,13,17,0.433,-8.86,-6.56,9.0,9.0,7,7,6,10,1708,1777,65.4,86.0,0.296,0.27,0.482,49.3,52.4,6.0,5.5,0.447,18.8,21.7,0.206
34,Buffalo,28,12,16,0.429,-4.26,-4.04,7.0,11.0,6,7,6,8,1823,1831,68.2,95.0,0.287,0.295,0.52,48.5,55.6,9.9,4.7,0.488,18.0,23.2,0.206
35,Butler,30,11,19,0.367,5.11,9.38,6.0,14.0,6,9,3,9,1832,1960,66.5,91.8,0.241,0.382,0.52,49.1,56.0,8.3,3.9,0.492,21.5,26.0,0.175
36,Cal Poly,28,10,18,0.357,-7.37,0.78,7.0,12.0,7,8,3,9,1547,1735,65.3,84.2,0.297,0.338,0.461,47.9,56.9,10.7,6.4,0.421,21.6,30.3,0.21
37,Cal State Bakersfield,31,8,23,0.258,-9.97,-0.32,3.0,17.0,4,8,2,14,1605,1904,66.6,75.9,0.271,0.341,0.429,45.6,45.6,11.6,13.7,0.394,22.5,26.0,0.181
38,Cal State Fullerton,30,14,16,0.467,-3.07,-1.21,9.0,11.0,9,5,5,10,1838,1894,66.8,89.5,0.311,0.26,0.492,48.0,54.8,10.7,6.6,0.448,19.1,25.7,0.232
39,Cal State Northridge,31,7,24,0.226,-9.47,-0.38,6.0,14.0,3,11,4,12,1813,2095,68.0,85.7,0.302,0.257,0.482,50.0,50.1,10.9,7.0,0.44,22.2,30.1,0.222
40,California,30,13,17,0.433,12.21,13.77,4.0,14.0,9,7,3,8,2042,2089,70.4,96.2,0.25,0.309,0.502,49.3,57.2,7.8,7.7,0.473,17.2,30.6,0.178
