Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
326,UNC Greensboro,30,16,14,0.533,-12.18,-8.7,8.0,6.0,9,5,6,8,1964,1919,1211,701,1687,0.416,142,470,0.302,375,536,0.7,354,1104,333,187,81,490,478
327,UNC Wilmington,30,5,25,0.167,-17.7,-6.02,2.0,16.0,4,10,1,14,1608,1921,1205,715,1750,0.409,147,520,0.283,344,476,0.723,358,1043,351,290,81,438,478
328,UT Arlington,31,14,17,0.452,-1.19,0.68,8.0,10.0,8,6,6,7,2255,2307,1260,823,1874,0.439,204,591,0.345,457,685,0.667,364,1175,478,274,110,567,655
329,Utah,32,27,5,0.844,30.23,13.38,14.0,3.0,16,0,9,3,2650,2111,1285,779,1924,0.405,180,560,0.321,373,554,0.673,325,1014,433,198,139,507,680
330,Utah State,30,4,26,0.133,-19.43,0.33,1.0,17.0,2,12,2,13,1749,2305,1200,810,1801,0.45,230,649,0.354,455,604,0.753,351,1272,486,254,134,471,499
331,Utah Tech,31,19,12,0.613,-1.79,-4.48,10.0,8.0,9,4,8,6,2327,2172,1245,802,2121,0.378,243,903,0.269,325,471,0.69,466,1265,505,243,81,440,484
332,Utah Valley,30,6,24,0.2,-15.76,-1.72,3.0,15.0,5,9,1,14,1654,2038,1220,719,1745,0.412,266,780,0.341,334,461,0.725,348,1136,507,256,96,440,429
333,UTEP,32,20,12,0.625,4.23,-0.14,12.0,8.0,11,3,7,7,2188,2048,1295,745,1728,0.431,202,620,0.326,356,508,0.701,309,1093,385,188,101,550,666
334,UTSA,32,13,19,0.406,-0.47,2.06,9.0,11.0,8,4,3,12,2073,2154,1290,717,1840,0.39,242,745,0.325,478,661,0.723,347,1080,417,247,96,470,547
335,Valparaiso,30,7,23,0.233,-11.7,0.13,5.0,15.0,3,12,4,10,1788,2143,1205,750,1695,0.442,200,585,0.342,443,607,0.73,306,1022,443,240,85,417,520
336,Vanderbilt,31,12,19,0.387,8.1,11.58,3.0,13.0,9,7,3,9,2095,2203,1252,816,1800,0.453,189,578,0.327,382,565,0.676,388,1172,460,209,131,530,601
337,Vermont,32,25,7,0.781,-3.47,-10.15,14.0,2.0,15,2,10,5,1961,1732,1285,657,1755,0.374,129,467,0.276,289,389,0.743,334,1061,276,227,88,438,433
338,Villanova,37,30,7,0.811,24.61,12.51,17.0,3.0,13,2,13,1,2620,2172,1480,782,2072,0.377,183,551,0.332,425,594,0.715,424,1301,400,173,89,541,550
339,Virginia,30,15,15,0.5,16.82,11.35,4.0,14.0,11,5,4,9,2062,1898,1200,675,1751,0.385,168,602,0.279,380,535,0.71,321,1075,390,205,134,528,545
340,Virginia Commonwealth,29,7,22,0.241,-5.05,0.71,4.0,12.0,4,9,1,11,1649,1816,1170,671,1626,0.413,189,553,0.342,285,409,0.697,300,989,365,203,103,403,402
341,Virginia Tech,36,31,5,0.861,29.12,14.45,14.0,4.0,16,1,8,3,2607,2079,1440,787,2050,0.384,154,552,0.279,351,489,0.718,316,1107,324,222,107,493,688
342,Wagner,28,13,15,0.464,-16.25,-13.67,8.0,8.0,8,4,5,11,1768,1840,1126,655,1515,0.432,157,481,0.326,373,526,0.709,323,1101,367,187,92,573,454
343,Wake Forest,34,17,17,0.5,12.55,12.76,5.0,13.0,12,5,3,9,2036,2043,1365,751,1895,0.396,151,529,0.285,390,562,0.694,366,1225,407,222,90,488,552
344,Washington,34,19,15,0.559,15.69,13.75,7.0,11.0,16,5,2,8,2068,2002,1375,735,1920,0.383,219,652,0.336,313,433,0.723,336,1068,390,237,139,499,482
