Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Gonzaga,1.6188,0.8141,1.1531,1.5167,1.3877,1.3497,-0.07,1.6194,0.1142
New Mexico,1.5264,1.7476,0.7225,1.5072,1.3877,1.4903,1.2186,1.6194,1.1436
Wisconsin,1.6779,0.9597,1.5263,1.5263,0.727,1.4903,1.0897,0.8958,1.4909
San Diego State,1.6127,1.3378,1.689,1.5646,1.3877,1.4318,2.2493,1.6194,1.1436
Texas Tech,1.629,1.4543,-0.8947,1.488,1.1062,1.4903,0.3939,1.6194,1.7764
Oklahoma,1.5339,1.7742,-0.6746,1.3636,0.9453,0.7877,0.9239,1.6194,1.7764
Texas,1.5679,1.4543,-0.1866,1.4211,0.727,1.3497,-0.8431,1.0408,1.7764
Cincinnati,1.5257,1.4543,-0.0526,1.3828,0.6466,0.7877,0.3939,1.2856,1.7764
TCU,1.4565,1.4543,-1.5742,1.3923,1.1062,0.4755,1.4762,1.6194,1.7764
Clemson,1.5257,1.7159,1.5646,1.4785,0.8764,1.8413,1.3658,0.7513,1.2632
Florida,1.4694,1.134,1.0191,1.4689,1.1062,1.2267,1.0124,1.6194,1.3583
Utah,1.4904,1.3378,1.1435,1.2679,0.5029,1.0217,0.9239,0.6176,0.8762
Wake Forest,1.4999,0.9597,-0.1483,1.3541,0.6466,0.6122,0.5312,1.2856,1.2632
Villanova,1.5319,0.5816,1.2679,1.4019,0.1869,1.8413,0.1876,0.3793,1.1057
Colorado State,1.502,1.7159,1.3828,1.4976,1.3877,1.8413,1.0124,1.6194,1.1436
Colorado,1.4293,1.3378,1.0478,1.3445,0.727,-0.6169,1.2186,1.0408,0.8762
Dayton,1.5387,1.4006,1.6507,1.555,1.7957,1.0217,2.2493,1.6194,0.9946
Washington State,1.4585,1.3378,0.1962,1.4306,1.3877,1.8413,1.4762,1.0768,0.8762
Florida Atlantic,1.4381,1.134,1.4211,1.4593,1.3877,0.3664,2.2493,1.0408,0.5726
St. John's (NY),1.4402,0.9597,0.2249,1.2488,0.0605,-0.6169,0.3939,0.9991,1.1057
Southern Methodist,1.4055,0.7076,0.0239,1.4115,1.1694,-0.6169,1.2186,1.0768,0.5726
Mississippi State,1.3689,1.4543,0.8947,1.3732,0.8764,1.3497,2.2493,0.9991,1.3583
