Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
163,Marshall,24,12,12,0.5,-3.43,-1.87,7.0,4.0,8,5,3,4,1826,1829,73.4,103.9,0.285,0.358,0.529,49.0,49.3,10.3,7.3,0.5,14.4,27.6,0.203
164,Maryland,22,13,9,0.591,11.3,5.11,5.0,6.0,10,2,3,5,1530,1394,66.3,95.0,0.32,0.291,0.497,48.6,48.4,9.3,9.7,0.455,17.1,30.3,0.235
165,Maryland-Baltimore County,23,7,16,0.304,-10.84,-5.79,2.0,6.0,5,6,2,10,1817,1909,75.7,109.6,0.283,0.351,0.547,51.4,44.3,11.7,7.6,0.518,13.0,30.1,0.206
166,Maryland-Eastern Shore,19,5,14,0.263,-18.33,-4.27,1.0,5.0,5,3,0,11,1218,1357,68.4,102.3,0.377,0.362,0.53,52.3,52.7,10.0,7.3,0.501,16.3,30.8,0.247
167,Massachusetts,21,14,7,0.667,8.47,-0.43,5.0,4.0,10,2,1,4,1693,1506,70.8,100.7,0.399,0.391,0.528,46.8,54.6,8.4,7.4,0.485,17.4,30.6,0.288
168,Massachusetts-Lowell,21,15,6,0.714,-0.92,-6.31,6.0,2.0,7,3,8,3,1679,1421,72.0,93.5,0.225,0.346,0.482,44.8,44.5,10.5,6.9,0.454,15.1,25.9,0.159
169,McNeese State,22,19,3,0.864,5.69,-4.92,8.0,1.0,11,0,7,3,1760,1363,67.5,91.8,0.287,0.495,0.502,47.5,60.7,6.6,8.3,0.468,20.8,29.5,0.205
170,Memphis,22,16,6,0.727,9.16,4.02,5.0,4.0,9,2,5,3,1766,1653,72.1,103.0,0.304,0.426,0.522,49.4,51.0,10.1,11.5,0.49,16.1,33.3,0.215
171,Mercer,23,10,13,0.435,-5.51,-3.21,3.0,7.0,6,5,3,7,1605,1611,67.6,103.5,0.41,0.344,0.541,50.2,44.2,10.2,7.9,0.498,16.7,30.5,0.295
172,Merrimack,23,13,10,0.565,-3.74,-5.03,7.0,2.0,8,1,4,8,1576,1524,68.5,96.2,0.313,0.323,0.504,55.3,58.0,10.1,9.7,0.465,19.5,35.5,0.226
173,Miami (FL),22,15,7,0.682,13.12,4.53,6.0,5.0,11,2,2,4,1778,1589,71.3,100.8,0.206,0.455,0.517,47.5,55.6,10.2,8.8,0.494,15.0,27.4,0.148
174,Miami (OH),22,11,11,0.5,-5.12,-3.02,5.0,5.0,7,3,4,8,1618,1571,68.8,103.2,0.348,0.359,0.529,51.7,47.7,9.0,9.7,0.489,15.2,29.0,0.253
175,Michigan,22,7,15,0.318,8.07,9.89,2.0,9.0,4,7,2,5,1694,1734,69.3,111.8,0.297,0.324,0.544,48.8,45.8,10.6,12.0,0.513,11.9,31.0,0.216
176,Michigan State,22,14,8,0.636,19.26,9.17,6.0,5.0,12,2,1,4,1658,1436,67.0,96.9,0.316,0.428,0.502,49.2,54.2,8.1,7.3,0.463,16.3,29.8,0.229
177,Middle Tennessee,22,8,14,0.364,-7.2,-0.3,2.0,5.0,7,6,0,6,1405,1480,66.0,100.3,0.289,0.316,0.518,49.9,42.0,10.1,10.0,0.486,15.6,30.8,0.206
178,Milwaukee,22,11,11,0.5,-5.96,-2.76,6.0,5.0,7,3,3,7,1729,1746,70.6,110.6,0.324,0.383,0.556,48.7,56.5,10.3,11.8,0.518,14.3,32.2,0.245
179,Minnesota,21,14,7,0.667,10.23,1.94,5.0,5.0,12,3,2,3,1606,1432,68.4,99.2,0.28,0.288,0.506,47.1,52.9,10.7,9.1,0.472,14.8,28.5,0.203
180,Mississippi,22,18,4,0.818,10.46,5.14,5.0,4.0,13,1,3,3,1692,1575,68.9,103.9,0.292,0.373,0.518,52.0,54.9,9.4,7.6,0.487,16.0,35.5,0.208
